heights,theta_pt,phi_pt
114.986269911162,63.1546846172738,28.0715237024701
115.501234819333,63.1526396574302,28.2029665594755
114.197468620988,63.1644690515533,28.366252314575
116.373584066235,63.1700744773272,28.5569678005293
113.768786314424,63.1812696150372,28.7398012908755
114.694574307266,63.2033937511711,28.9237796299415
113.585029842129,63.1853359888659,29.0813248186906
113.967829511418,63.1982117798495,29.3051407948806
116.220512670143,63.2007511817006,29.5369982224373
117.324586034974,63.1840704696053,29.7385241980225
117.987781614956,63.1801047106424,29.9001996762055
116.277505112471,63.1665881031755,30.0090863480599
117.838176757801,63.1758307905896,30.2380108114395
119.09783691577,63.1722875344379,30.4431972968011
118.815040309985,63.1620628724898,30.6142616495075
119.066086858729,63.148664105686,30.8268593582421
118.627831688433,63.1495073156023,31.1047255054984
118.791764227591,63.1113302449945,31.3292486389517
117.714606495971,63.0768052244744,31.5633380629416
