inter_bulb_distance,error_inter_distance
117.928873608788,4.17895723583736
120.002554868982,4.27223619390032
113.741140698441,4.31418535029598
109.658088209474,4.40620673123203
117.51463059878,4.56262532476725
125.266238561317,4.73550616557599
115.552274065589,4.75326297950518
115.832590324966,4.89426454712107
111.895715324115,5.01161378787136
109.324095242196,5.10932630670977
106.814503943405,5.18341523932804
124.226933786465,5.36534918640548
120.606972627682,5.4887530459575
117.614660667999,5.59467020559892
127.967151515955,5.77209616715943
127.018363882657,5.89258160499194
119.887427514365,6.01442422715458
136.355312898044,6.262484093925
138.778369389274,6.41605226358319
