heights,error_position,parallel_speeds,error_speeds,volume_shape
115.232976438834,3.3848035768111,0.526924303987584,0.212822340993388,8180.16080029577
116.122242417709,3.46019623923048,0.0756178426149258,0.205839074328143,6782.43171801354
113.299254628593,3.46687303797914,0.403585542070871,0.213523675016538,5655.01703790481
112.897274291187,3.51780221081955,0.939748982327885,0.246913492303334,7839.53269619694
115.356277758971,3.66361817648826,1.03802452720629,0.257056686164298,5461.00919500299
118.692546048364,3.81984768698901,-0.0374672443474943,0.229111085704942,7253.11084418953
114.339936786637,3.79669320125426,0.712300304691597,0.244665485813507,9029.87136898573
116.386816202527,3.90214691976414,0.481733145150865,0.240398669214954,8202.62717983217
117.085660522543,3.97076489404057,0.393543280116824,0.241786201163722,8009.74811420738
116.39018715767,4.02682755140629,0.306541454045662,0.242541569099275,9594.58122563905
114.207512976494,4.06640306409843,1.35483049257099,0.297858041165668,9340.94641353064
116.485146430824,4.26532602193537,0.568987236737703,0.265610719633087,11340.9574941374
117.614800330297,4.34354018593186,0.518955694621788,0.269407124560455,8751.2994383541
115.731757304032,4.4077400653746,1.13521501091174,0.301165329644347,13572.3494183728
119.252512674905,4.57687835965688,0.585120844457906,0.282647639941575,15952.7889141602
118.911072095314,4.65904640923141,0.45040192412162,0.283193395428115,12304.8725803468
119.602988014404,4.72255528743831,1.57780328249338,0.348701539147942,14201.2210398458
124.627124818989,4.96158714602461,0.858563190076748,0.316081203499553,17458.358311737
123.180011706965,5.07972732119624,0,0,18102.9408455661
