heights_1,heights_2,heights_3,error_position_1,error_position_2,error_position_3,parallel_speeds_1,parallel_speeds_2,parallel_speeds_3,error_speeds_1,error_speeds_2,error_speeds_3,inter_bulb_distance_1,inter_bulb_distance_2,error_inter_distance_1,error_inter_distance_2
125.66249416401,112.194475314319,122.939370639308,16.0870146511302,11.2820158105492,4.8797545363572,0.117434449736017,0.208363230486864,0.321125087041627,1.46685837198196,0.976026094365382,0.413770313870829,167.812246109445,102.84867166668,19.6488147514083,12.292106617036
125.87920645838,110.206762367151,118.828104721062,19.0465628581069,12.1411778200559,4.92620042563503,0.372243137484697,0.360897002682242,0.476160065024292,1.70140015704028,1.13657769800083,0.424209665422613,166.424896846923,100.973746553425,22.5871590857733,13.1025054661978
124.009917551231,111.723474363669,119.851990536086,21.7367890672476,14.9858435499718,5.06183638925336,0.401876713575161,0.449917776412433,0.512239552107974,1.473161327989,1.18537272984194,0.435849446520998,166.215855986297,99.0290909535356,26.4019602654471,15.8176387155543
119.710207573782,112.376296925662,117.836371023343,12.3593279292827,13.3996581808574,5.18131126545576,0.422985510469112,0.58532321115612,0.505931030611445,1.07985220855405,1.16531383013361,0.446307527117181,164.556396707375,98.1133903146489,18.2292025669629,14.3665175249034
119.746227181537,115.826105635953,118.485479055692,13.513992890536,14.4680824067109,5.32062734302747,0.687784424180982,0.691759401330185,0.514694967508699,1.10856287788758,1.13214970562532,0.457488316650804,161.488489752302,99.8077619137524,19.7978133230121,15.4153976222071
121.478641755761,117.537591239513,114.894133699872,12.9653386176506,12.506158227638,5.43078827559251,0.426305111266824,0.241442180010213,0.606194123509911,1.25740583877287,1.05062423476331,0.471406741965571,161.209057649628,103.540406056018,18.0139945343907,13.6344216932377
119.61920458056,110.855799849535,115.240110031309,16.939060495873,12.6511377804404,5.60042322816689,0.412329629337931,0.415890382293313,0.455136196986295,1.53346837821326,0.940462081729816,0.477642113710155,164.698085757438,96.5923184541213,21.1419738345911,13.8353181197354
118.665652851721,112.913600343785,114.321751577376,19.7750802756052,9.68629548086028,5.71809615484698,0.861256063584257,0.534526947599885,0.410038273044189,1.45607935984732,0.798535963461294,0.485704321662886,164.522620487238,96.1209153301227,22.0199482299383,11.2481529051934
122.026375775702,112.476918204213,111.434897122971,14.645052890407,9.37402166939228,5.81085175022294,0.0484617924964219,0.326818506335669,0.488322526931551,1.98438382685128,1.07888904525744,0.5030795230546,170.39055565616,98.3888080427289,17.3882102707856,11.0289745815876
115.847529291156,108.835897823536,117.445841153867,30.3634953086682,15.7224825486992,5.98700872697965,0.238971914562194,0.366213250097377,0.465307650604168,1.88924765322108,1.17954692278885,0.509864905108475,164.814996353338,96.0091162516388,34.1926644889466,16.8238144007559
120.772060585417,109.248344018122,116.26609057805,10.4041451564479,12.3957918933106,6.10548653043858,0.392307507853837,0.480243499145247,0.358258686070025,1.14536159530467,0.864412053719821,0.515685803897077,163.12503751861,94.574586044179,16.1833832401851,13.8178371113439
114.21386499493,109.841881883246,114.433687054273,16.3771287033342,7.75483218107881,6.1908207675747,1.02451870587542,0.250441939595212,0.57439351507249,1.41735525766749,0.747334686813478,0.543623624833883,161.15052361882,96.7529740130999,18.1203688351608,9.92288687494369
113.003800231365,109.624134530719,117.54283633086,17.3934968249168,10.0352962722172,6.60860316516846,0.321172679518493,0.459945068874118,0.27386250033855,1.20893195628533,0.758444072517327,0.545547931669191,174.561377375637,91.3413177680297,20.0808591217998,12.0158564849058
116.114186154652,111.564818349845,118.111089481222,10.8851772063359,7.96699911550425,6.45318465080537,0.392267311283941,0.459335682584681,0.638355159307519,0.912754712007339,0.673328945496051,0.555673722203757,172.049221221702,94.5172813076735,13.4892608292589,10.2526419543372
115.574154993163,111.950354582303,115.649224653071,10.9951653837965,8.10032743409643,6.6159410574555,0.707897068348229,0.218154804302571,0.278238591850539,0.931687138126875,0.693939281891523,0.556025328553119,170.700293912102,91.525170646192,13.6568285614418,10.4587752923227
115.823929948669,105.292965063846,114.103077610213,11.2003220805254,8.47236079125059,6.68075478194392,0.34386047920738,0.751479582417098,0.430252437694299,0.93802427765337,0.714217913637617,0.566168188894194,179.340816360015,91.5308788517091,14.0437926531484,10.7895033172796
115.804030167675,108.479257311734,112.026955130711,11.3011646714991,8.3600620227635,6.79063288002923,0.462092355705176,0.503286483099975,0.424503211124945,0.949199608263255,0.707045484541864,0.575307780089046,172.128188492679,96.8796751863472,14.0572742719488,10.770484294394
115.674719443271,108.137014184642,112.924766722551,11.4342167534516,8.50273159249963,6.9167966457498,1.32213345435338,-0.152770413202744,0.673503539488094,1.11928803427221,0.705908505587237,0.597277287962008,171.402964500541,98.1956640196554,14.2491318086052,10.960771887634
119.984663507649,106.728124519336,114.814449228453,14.6532168866204,8.45164381591579,7.12174942407257,0,0,0,0,0,0,197.048188787478,83.9061951023202,16.9158815412453,11.0521309280331
