loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 22, 44.9, 8, 27, 34.3,  1, Gaia DR3 4496252042137982080
1, 79, 16, 19.5, 13, 55, 05.5, 2, Gaia DR3 4549594333363276416
1, 84, 12, 25.1, 16, 17, 30.0, 3, HIP 84623 
1, 82, 30, 18.7, 19, 52, 14.8, 4, Gaia DR3 4566918753968228480
1, 85, 08, 49.2, 24, 50, 15.0, 5, HD 153208 
1, 80, 26, 51.1, 27, 48, 06.5, 6, HIP 83726 
1, 80, 52, 34.9, 34, 43, 49.4, 7, Gaia DR3 1326884623742027648
6, 52, 18, 42.1, 14, 57, 25.8, 1, HD 185331 
6, 38, 23, 58.8, 22, 53, 04.5, 2, HIP 100308 
6, 34, 04, 37.3, 30, 24, 10.5, 3, HD 235209 
6, 16, 35, 22.4, 32, 13, 34.3, 4, Gaia DR3 2199410150513747584
6, 358, 28, 19.4, 34, 28, 58.3, 5, SAO 20965 
6, 348, 16, 18.7, 32, 40, 40.9, 6, HIP 5232 
6, 335, 37, 24.7, 31, 33, 37.1, 7, 9 Per 
